[WARNING][1;31m Indexing parameters (-k, -w or -H) overridden by parameters used in the prebuilt index.[0m
[M::main::0.020*1.60] loaded/built the index for 1 target sequence(s)
[M::mm_mapopt_update::0.020*1.58] mid_occ = 1000
[M::mm_idx_stat] kmer size: 15; skip: 10; is_hpc: 0; #seq: 1
[M::mm_idx_stat::0.020*1.54] distinct minimizers: 5587 (99.93% are singletons); average occurrences: 1.004; average spacing: 5.332; total length: 29903
[M::worker_pipeline::4157.630*0.01] mapped 500417 sequences
[M::worker_pipeline::4160.511*0.01] mapped 500418 sequences
[M::worker_pipeline::4162.733*0.01] mapped 500413 sequences
[M::worker_pipeline::4165.034*0.02] mapped 500431 sequences
[M::worker_pipeline::4168.108*0.02] mapped 500426 sequences
[M::worker_pipeline::4170.080*0.03] mapped 500425 sequences
[M::worker_pipeline::4172.788*0.03] mapped 500425 sequences
[M::worker_pipeline::4175.996*0.03] mapped 500428 sequences
[M::worker_pipeline::4177.971*0.04] mapped 500428 sequences
[M::worker_pipeline::4181.265*0.04] mapped 500424 sequences
[M::worker_pipeline::4183.461*0.04] mapped 500414 sequences
[M::worker_pipeline::4185.456*0.05] mapped 500428 sequences
[M::worker_pipeline::4187.937*0.05] mapped 500403 sequences
[M::worker_pipeline::4190.574*0.05] mapped 500425 sequences
[M::worker_pipeline::4192.502*0.06] mapped 500440 sequences
[M::worker_pipeline::4194.977*0.06] mapped 500433 sequences
[M::worker_pipeline::4197.894*0.06] mapped 500419 sequences
[M::worker_pipeline::4199.759*0.07] mapped 500436 sequences
[M::worker_pipeline::4202.110*0.07] mapped 500406 sequences
[M::worker_pipeline::4204.967*0.07] mapped 500430 sequences
[M::worker_pipeline::4206.772*0.08] mapped 500416 sequences
[M::worker_pipeline::4209.263*0.08] mapped 500446 sequences
[M::worker_pipeline::4212.251*0.08] mapped 500426 sequences
[M::worker_pipeline::4213.908*0.09] mapped 500425 sequences
[M::worker_pipeline::4216.591*0.09] mapped 500436 sequences
[M::worker_pipeline::4219.490*0.09] mapped 500427 sequences
[M::worker_pipeline::4221.351*0.10] mapped 500425 sequences
[M::worker_pipeline::4224.040*0.10] mapped 500417 sequences
[M::worker_pipeline::4227.341*0.10] mapped 500425 sequences
[M::worker_pipeline::4229.084*0.11] mapped 500424 sequences
[M::worker_pipeline::4232.466*0.11] mapped 500435 sequences
[M::worker_pipeline::4279.020*0.11] mapped 500432 sequences
[M::worker_pipeline::4282.165*0.12] mapped 500441 sequences
[M::worker_pipeline::4284.523*0.12] mapped 500426 sequences
[M::worker_pipeline::4287.003*0.12] mapped 500424 sequences
[M::worker_pipeline::4288.927*0.13] mapped 500402 sequences
[M::worker_pipeline::4291.079*0.13] mapped 500424 sequences
[M::worker_pipeline::4293.702*0.13] mapped 500422 sequences
[M::worker_pipeline::4295.649*0.14] mapped 500431 sequences
[M::worker_pipeline::4297.840*0.14] mapped 500406 sequences
[M::worker_pipeline::4300.549*0.14] mapped 500418 sequences
[M::worker_pipeline::4302.479*0.14] mapped 500426 sequences
[M::worker_pipeline::4304.723*0.15] mapped 500433 sequences
[M::worker_pipeline::4307.286*0.15] mapped 500422 sequences
[M::worker_pipeline::4309.216*0.15] mapped 500415 sequences
[M::worker_pipeline::4311.434*0.16] mapped 500438 sequences
[M::worker_pipeline::4313.999*0.16] mapped 500415 sequences
[M::worker_pipeline::4315.882*0.16] mapped 500430 sequences
[M::worker_pipeline::4318.070*0.17] mapped 500424 sequences
[M::worker_pipeline::4320.675*0.17] mapped 500437 sequences
[M::worker_pipeline::4322.643*0.17] mapped 500420 sequences
