[2022-08-21 13:01:48] Executing SamBamViz v0.0.9
[2022-08-21 13:01:48] Using 1-based indexing
[2022-08-21 13:01:48] Input file: data/trimmed_bam/SRR13616006.02.trimmed.sorted.bam
[2022-08-21 13:01:48] Output file: data/trimmed_bam/SRR13616006.02.trimmed.sorted.bam.sambamviz.tsv
[2022-08-21 13:01:48] Parsing input file...
[2022-08-21 13:01:58] Parsed 50000 reads...
[2022-08-21 13:02:07] Parsed 100000 reads...
[2022-08-21 13:02:18] Parsed 150000 reads...
[2022-08-21 13:02:29] Parsed 200000 reads...
[2022-08-21 13:02:40] Parsed 250000 reads...
[2022-08-21 13:02:51] Parsed 300000 reads...
[2022-08-21 13:03:03] Parsed 350000 reads...
[2022-08-21 13:03:15] Parsed 400000 reads...
[2022-08-21 13:03:26] Parsed 450000 reads...
[2022-08-21 13:03:36] Parsed 500000 reads...
[2022-08-21 13:03:46] Parsed 550000 reads...
[2022-08-21 13:03:55] Parsed 600000 reads...
[2022-08-21 13:04:06] Parsed 650000 reads...
[2022-08-21 13:04:16] Parsed 700000 reads...
[2022-08-21 13:04:25] Parsed 750000 reads...
[2022-08-21 13:04:34] Parsed 800000 reads...
[2022-08-21 13:04:44] Parsed 850000 reads...
[2022-08-21 13:04:54] Parsed 900000 reads...
[2022-08-21 13:05:03] Parsed 950000 reads...
[2022-08-21 13:05:13] Parsed 1000000 reads...
[2022-08-21 13:05:23] Parsed 1050000 reads...
[2022-08-21 13:05:32] Parsed 1100000 reads...
[2022-08-21 13:05:42] Parsed 1150000 reads...
[2022-08-21 13:05:52] Parsed 1200000 reads...
[2022-08-21 13:06:01] Parsed 1250000 reads...
[2022-08-21 13:06:11] Parsed 1300000 reads...
[2022-08-21 13:06:20] Parsed 1350000 reads...
[2022-08-21 13:06:30] Parsed 1400000 reads...
[2022-08-21 13:06:40] Parsed 1450000 reads...
[2022-08-21 13:06:51] Parsed 1500000 reads...
[2022-08-21 13:07:01] Parsed 1550000 reads...
[2022-08-21 13:07:10] Parsed 1600000 reads...
[2022-08-21 13:07:20] Parsed 1650000 reads...
[2022-08-21 13:07:31] Parsed 1700000 reads...
[2022-08-21 13:07:40] Parsed 1750000 reads...
[2022-08-21 13:07:50] Parsed 1800000 reads...
[2022-08-21 13:08:00] Parsed 1850000 reads...
[2022-08-21 13:08:10] Parsed 1900000 reads...
[2022-08-21 13:08:21] Parsed 1950000 reads...
[2022-08-21 13:08:32] Parsed 2000000 reads...
[2022-08-21 13:08:43] Parsed 2050000 reads...
[2022-08-21 13:08:54] Parsed 2100000 reads...
[2022-08-21 13:09:05] Parsed 2150000 reads...
[2022-08-21 13:09:15] Parsed 2200000 reads...
[2022-08-21 13:09:25] Parsed 2250000 reads...
[2022-08-21 13:09:35] Parsed 2300000 reads...
[2022-08-21 13:09:46] Parsed 2350000 reads...
[2022-08-21 13:09:56] Parsed 2400000 reads...
[2022-08-21 13:10:06] Parsed 2450000 reads...
[2022-08-21 13:10:17] Parsed 2500000 reads...
[2022-08-21 13:10:27] Parsed 2550000 reads...
[2022-08-21 13:10:37] Parsed 2600000 reads...
[2022-08-21 13:10:47] Parsed 2650000 reads...
[2022-08-21 13:10:57] Parsed 2700000 reads...
[2022-08-21 13:11:08] Parsed 2750000 reads...
[2022-08-21 13:11:18] Parsed 2800000 reads...
[2022-08-21 13:11:28] Parsed 2850000 reads...
[2022-08-21 13:11:38] Parsed 2900000 reads...
[2022-08-21 13:11:49] Parsed 2950000 reads...
[2022-08-21 13:11:59] Parsed 3000000 reads...
[2022-08-21 13:12:09] Parsed 3050000 reads...
[2022-08-21 13:12:18] Parsed 3100000 reads...
[2022-08-21 13:12:29] Parsed 3150000 reads...
[2022-08-21 13:12:39] Parsed 3200000 reads...
[2022-08-21 13:12:49] Parsed 3250000 reads...
[2022-08-21 13:12:59] Parsed 3300000 reads...
[2022-08-21 13:13:10] Parsed 3350000 reads...
[2022-08-21 13:13:20] Parsed 3400000 reads...
[2022-08-21 13:13:30] Parsed 3450000 reads...
[2022-08-21 13:13:40] Parsed 3500000 reads...
[2022-08-21 13:13:50] Parsed 3550000 reads...
[2022-08-21 13:14:00] Parsed 3600000 reads...
[2022-08-21 13:14:10] Parsed 3650000 reads...
[2022-08-21 13:14:20] Parsed 3700000 reads...
[2022-08-21 13:14:30] Parsed 3750000 reads...
[2022-08-21 13:14:39] Parsed 3800000 reads...
[2022-08-21 13:14:49] Parsed 3850000 reads...
[2022-08-21 13:14:58] Parsed 3900000 reads...
[2022-08-21 13:15:08] Parsed 3950000 reads...
[2022-08-21 13:15:17] Parsed 4000000 reads...
[2022-08-21 13:15:25] Parsed 4050000 reads...
[2022-08-21 13:15:34] Parsed 4100000 reads...
[2022-08-21 13:15:44] Parsed 4150000 reads...
[2022-08-21 13:15:54] Parsed 4200000 reads...
[2022-08-21 13:16:04] Parsed 4250000 reads...
[2022-08-21 13:16:14] Parsed 4300000 reads...
[2022-08-21 13:16:24] Parsed 4350000 reads...
[2022-08-21 13:16:33] Parsed 4400000 reads...
[2022-08-21 13:16:43] Parsed 4450000 reads...
[2022-08-21 13:16:52] Parsed 4500000 reads...
[2022-08-21 13:17:01] Parsed 4550000 reads...
[2022-08-21 13:17:11] Parsed 4600000 reads...
[2022-08-21 13:17:21] Parsed 4650000 reads...
[2022-08-21 13:17:30] Parsed 4700000 reads...
[2022-08-21 13:17:40] Parsed 4750000 reads...
[2022-08-21 13:17:50] Parsed 4800000 reads...
[2022-08-21 13:18:00] Parsed 4850000 reads...
[2022-08-21 13:18:10] Parsed 4900000 reads...
[2022-08-21 13:18:20] Parsed 4950000 reads...
[2022-08-21 13:18:30] Parsed 5000000 reads...
[2022-08-21 13:18:40] Parsed 5050000 reads...
